Product,Price,fecha
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,967.1934500000001,2026-02-17 14:37:35.195919
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,967.1934500000001,2026-02-18 05:17:28.600750
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,967.1934500000001,2026-02-18 14:36:34.942679
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,967.1934500000001,2026-02-19 05:15:02.491881
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,967.1934500000001,2026-02-19 14:42:46.792617
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,6293.46,
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,961.8237,2026-02-20 05:08:55.459539
Nipagin Metilparabeno,21402.0,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,6293.46,
Glicerina Refinada Alimenticia,3753.61,
COSTO_POTE,960.4145,2026-02-20 14:27:20.265659
Nipagin Metilparabeno,21402.0,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,6293.46,
Glicerina Refinada Alimenticia,3753.61,
COSTO_POTE,960.4145,2026-02-21 04:54:08.533676
Nipagin Metilparabeno,21174.66,
Carbopol Acrypol 940,23833.18,
Trietanolamina 85%,6226.85,
Glicerina Refinada Alimenticia,3714.31,
COSTO_POTE,950.2318,2026-02-21 13:55:17.163866
Nipagin Metilparabeno,21174.66,
Carbopol Acrypol 940,23833.18,
Trietanolamina 85%,6226.85,
Glicerina Refinada Alimenticia,3714.31,
COSTO_POTE,950.2318,2026-02-22 05:13:42.689331
Nipagin Metilparabeno,21174.66,
Carbopol Acrypol 940,23833.18,
Trietanolamina 85%,6226.85,
Glicerina Refinada Alimenticia,3714.31,
COSTO_POTE,950.2318,2026-02-22 13:55:32.870483
Nipagin Metilparabeno,21174.66,
Carbopol Acrypol 940,23833.18,
Trietanolamina 85%,6226.85,
Glicerina Refinada Alimenticia,3714.31,
COSTO_POTE,950.2318,2026-02-23 05:43:10.494787
Nipagin Metilparabeno,21174.66,
Carbopol Acrypol 940,23833.18,
Trietanolamina 85%,6226.85,
Glicerina Refinada Alimenticia,3714.31,
COSTO_POTE,950.2318,2026-02-23 14:38:18.244067
Nipagin Metilparabeno,21174.66,
Carbopol Acrypol 940,23747.76,
Trietanolamina 85%,6204.53,
Glicerina Refinada Alimenticia,3714.31,
COSTO_POTE,947.5382999999999,2026-02-24 05:15:06.981340
Nipagin Metilparabeno,21098.76,
Carbopol Acrypol 940,23747.76,
Trietanolamina 85%,6204.53,
Glicerina Refinada Alimenticia,3701.1,
COSTO_POTE,946.82855,2026-02-24 15:11:38.488434
Nipagin Metilparabeno,21098.76,
Carbopol Acrypol 940,23918.43,
Trietanolamina 85%,6249.0,
Glicerina Refinada Alimenticia,3701.1,
COSTO_POTE,952.20705,2026-02-25 05:17:28.488603
Nipagin Metilparabeno,21250.38,
Carbopol Acrypol 940,23918.43,
Trietanolamina 85%,6249.0,
Glicerina Refinada Alimenticia,3727.36,
COSTO_POTE,953.6216499999999,2026-02-25 15:13:35.274260
Nipagin Metilparabeno,21250.38,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,3727.36,
COSTO_POTE,961.68515,2026-02-26 05:12:57.179366
Nipagin Metilparabeno,21477.72,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,3766.65,
COSTO_POTE,963.8041000000001,2026-02-26 14:43:37.661062
Nipagin Metilparabeno,21477.72,
Carbopol Acrypol 940,24515.53,
Trietanolamina 85%,6404.35,
Glicerina Refinada Alimenticia,3766.65,
COSTO_POTE,974.55185,2026-02-27 05:07:05.842434
